[323]	validation_0-rmse:0.27966	validation_1-rmse:0.29821
[324]	validation_0-rmse:0.27962	validation_1-rmse:0.29820
[325]	validation_0-rmse:0.27957	validation_1-rmse:0.29821
[326]	validation_0-rmse:0.27952	validation_1-rmse:0.29820
[327]	validation_0-rmse:0.27949	validation_1-rmse:0.29822
[328]	validation_0-rmse:0.27944	validation_1-rmse:0.29820
[329]	validation_0-rmse:0.27940	validation_1-rmse:0.29821
[330]	validation_0-rmse:0.27934	validation_1-rmse:0.29820
[331]	validation_0-rmse:0.27927	validation_1-rmse:0.29818
[332]	validation_0-rmse:0.27923	validation_1-rmse:0.29818
[333]	validation_0-rmse:0.27918	validation_1-rmse:0.29818
[334]	validation_0-rmse:0.27914	validation_1-rmse:0.29817
[335]	validation_0-rmse:0.27910	validation_1-rmse:0.29818
[336]	validation_0-rmse:0.27907	validation_1-rmse:0.29817
[337]	validation_0-rmse:0.27904	validation_1-rmse:0.29818
[338]	validation_0-rmse:0.27901	validation_1-rmse:0.29816
[339]	validation_0-rmse:0.27896	validation_1-rmse:0.29815
[340]	validation_0-rmse:0.27892	validation_1-rmse:0.29815
[341]	validation_0-rmse:0.27887	validation_1-rmse:0.29814
[342]	validation_0-rmse:0.27886	validation_1-rmse:0.29814
[343]	validation_0-rmse:0.27880	validation_1-rmse:0.29814
[344]	validation_0-rmse:0.27879	validation_1-rmse:0.29814
[345]	validation_0-rmse:0.27875	validation_1-rmse:0.29811
[346]	validation_0-rmse:0.27873	validation_1-rmse:0.29812
[347]	validation_0-rmse:0.27870	validation_1-rmse:0.29811
[348]	validation_0-rmse:0.27863	validation_1-rmse:0.29811
[349]	validation_0-rmse:0.27859	validation_1-rmse:0.29811
[350]	validation_0-rmse:0.27854	validation_1-rmse:0.29812
[351]	validation_0-rmse:0.27851	validation_1-rmse:0.29811
[352]	validation_0-rmse:0.27847	validation_1-rmse:0.29810
[353]	validation_0-rmse:0.27842	validation_1-rmse:0.29811
[354]	validation_0-rmse:0.27840	validation_1-rmse:0.29812
[355]	validation_0-rmse:0.27836	validation_1-rmse:0.29814
[356]	validation_0-rmse:0.27829	validation_1-rmse:0.29813
[357]	validation_0-rmse:0.27827	validation_1-rmse:0.29813
[358]	validation_0-rmse:0.27825	validation_1-rmse:0.29815
[359]	validation_0-rmse:0.27823	validation_1-rmse:0.29814
[360]	validation_0-rmse:0.27821	validation_1-rmse:0.29815
[361]	validation_0-rmse:0.27818	validation_1-rmse:0.29814
[362]	validation_0-rmse:0.27814	validation_1-rmse:0.29814
[363]	validation_0-rmse:0.27811	validation_1-rmse:0.29813
[364]	validation_0-rmse:0.27808	validation_1-rmse:0.29813
[365]	validation_0-rmse:0.27802	validation_1-rmse:0.29812
[366]	validation_0-rmse:0.27799	validation_1-rmse:0.29813
[367]	validation_0-rmse:0.27795	validation_1-rmse:0.29812
[368]	validation_0-rmse:0.27790	validation_1-rmse:0.29811
[369]	validation_0-rmse:0.27786	validation_1-rmse:0.29810
[370]	validation_0-rmse:0.27781	validation_1-rmse:0.29809
[371]	validation_0-rmse:0.27778	validation_1-rmse:0.29809
[372]	validation_0-rmse:0.27777	validation_1-rmse:0.29810
[373]	validation_0-rmse:0.27772	validation_1-rmse:0.29811
[374]	validation_0-rmse:0.27768	validation_1-rmse:0.29813
[375]	validation_0-rmse:0.27761	validation_1-rmse:0.29812
[376]	validation_0-rmse:0.27760	validation_1-rmse:0.29812
[377]	validation_0-rmse:0.27756	validation_1-rmse:0.29813
[378]	validation_0-rmse:0.27751	validation_1-rmse:0.29813
[379]	validation_0-rmse:0.27745	validation_1-rmse:0.29812
[380]	validation_0-rmse:0.27742	validation_1-rmse:0.29812
[381]	validation_0-rmse:0.27737	validation_1-rmse:0.29812
[382]	validation_0-rmse:0.27734	validation_1-rmse:0.29813
[383]	validation_0-rmse:0.27728	validation_1-rmse:0.29812
[384]	validation_0-rmse:0.27724	validation_1-rmse:0.29812
[385]	validation_0-rmse:0.27721	validation_1-rmse:0.29812
[386]	validation_0-rmse:0.27717	validation_1-rmse:0.29810
[387]	validation_0-rmse:0.27713	validation_1-rmse:0.29809
[388]	validation_0-rmse:0.27710	validation_1-rmse:0.29810
[389]	validation_0-rmse:0.27707	validation_1-rmse:0.29810
[390]	validation_0-rmse:0.27703	validation_1-rmse:0.29810
[391]	validation_0-rmse:0.27700	validation_1-rmse:0.29810
[392]	validation_0-rmse:0.27696	validation_1-rmse:0.29811
[393]	validation_0-rmse:0.27694	validation_1-rmse:0.29813
[394]	validation_0-rmse:0.27690	validation_1-rmse:0.29813
[395]	validation_0-rmse:0.27685	validation_1-rmse:0.29811
[396]	validation_0-rmse:0.27680	validation_1-rmse:0.29811
[397]	validation_0-rmse:0.27676	validation_1-rmse:0.29810
[398]	validation_0-rmse:0.27672	validation_1-rmse:0.29811
[399]	validation_0-rmse:0.27667	validation_1-rmse:0.29810
[400]	validation_0-rmse:0.27663	validation_1-rmse:0.29810
[401]	validation_0-rmse:0.27659	validation_1-rmse:0.29810
[402]	validation_0-rmse:0.27655	validation_1-rmse:0.29808
[403]	validation_0-rmse:0.27652	validation_1-rmse:0.29808
[404]	validation_0-rmse:0.27647	validation_1-rmse:0.29809
[405]	validation_0-rmse:0.27644	validation_1-rmse:0.29808
[406]	validation_0-rmse:0.27640	validation_1-rmse:0.29807
[407]	validation_0-rmse:0.27640	validation_1-rmse:0.29807
[408]	validation_0-rmse:0.27635	validation_1-rmse:0.29806
[409]	validation_0-rmse:0.27635	validation_1-rmse:0.29806
